TRACK,P1X,P1Y,P2X,P2Y,DIRECTION,MINX,MINY,MAXX,MAXY
791,-26.219057083129883,29.005830764770508,-34.757869720458984,17.6255464553833,"NX",-366.67364501953125,-276.5379638671875,318.007080078125,350.53936767578125
795,615.7991638183594,112.09477615356445,635.6573486328125,104.77580642700195,"NX",-125.46360778808594,-292.6767272949219,856.1309814453125,329.30462646484375
790,636.0734252929688,104.61787414550781,615.8343811035156,112.07851028442383,"PX",265.64190673828125,-289.3935546875,861.814453125,336.63055419921875
792,-616.1689147949219,-168.19441986083984,-599.141845703125,-159.99095916748047,"PX",-754.343017578125,-382.62188720703125,-316.46929931640625,504.5417175292969
794,-599.1284484863281,-159.81800842285156,-616.1646728515625,-168.02806091308594,"NX",-758.4981079101562,-381.9871826171875,-320.2904052734375,510.6794128417969
1226,-34.78486442565918,17.592178344726562,-26.236757278442383,28.98021697998047,"PX",-370.7461242675781,-287.8459167480469,856.692626953125,356.88909912109375
1231,-26.26508903503418,28.943917274475098,-34.783958435058594,17.588025093078613,"NX",-368.9685363769531,-288.3043212890625,860.666259765625,353.09039306640625
1232,-34.79771041870117,17.57154941558838,-26.259729385375977,28.944138526916504,"PX",-753.540283203125,-376.35504150390625,314.59954833984375,504.29296875
1233,-26.221017837524414,28.993370056152344,-34.7827033996582,17.59020233154297,"NX",-755.3646850585938,-382.2472229003906,317.22576904296875,507.53851318359375
470,566.6128540039062,279.93377685546875,562.0999450683594,263.6212615966797,"NX",-398.91473388671875,-407.4804382324219,856.4234008789062,386.926513671875
846,566.5618591308594,279.7568664550781,562.0573120117188,263.5786895751953,"NX",-74.83902740478516,-51.26125717163086,852.5809326171875,380.7142028808594
51,-51.953208923339844,-251.71990203857422,-51.94736099243164,-265.93821716308594,"NX",-473.6750183105469,-265.9775085449219,865.086669921875,211.11570739746094
747,-51.949880599975586,-265.95489501953125,-51.94943046569824,-251.5752944946289,"PX",-477.49371337890625,-265.9591064453125,865.8409423828125,210.931396484375
362,-308.1018981933594,22.00120735168457,-299.998291015625,26.31657123565674,"PX",-461.7701416015625,-995.2307739257812,1018.85693359375,867.3760986328125
915,-283.4231414794922,20.856070518493652,-291.5366668701172,16.53826904296875,"NX",-449.46929931640625,-977.4636840820312,1018.859130859375,1180.6639404296875
361,-100.98110961914062,-122.1219482421875,-100.21177291870117,-111.60492324829102,"PX",-1483.53466796875,-882.4863891601562,1809.2567138671875,509.41351318359375
451,1.0158143043518066,-105.86803436279297,0.23463576287031174,-116.31527709960938,"NX",-1480.087158203125,-327.9771728515625,1788.6976318359375,499.287353515625
351,-45.3471794128418,826.1775207519531,-44.52082633972168,819.4796142578125,"NX",-639.2418823242188,-511.9261169433594,726.3670043945312,843.3070678710938
450,-53.19065284729004,808.7348022460938,-54.01535415649414,815.4715270996094,"PX",-639.0285034179688,-501.0704650878906,720.0598754882812,831.6214599609375
1024,144.53565979003906,300.25022888183594,143.34076690673828,316.04150390625,"PX",-963.1570434570312,-398.3871154785156,949.6326904296875,367.70257568359375
1034,143.33261108398438,316.12330627441406,144.533935546875,300.266845703125,"NX",-962.16357421875,-400.3914794921875,946.4959106445312,370.7217712402344
41,-274.3785858154297,-241.2845230102539,-284.9570617675781,-248.81000518798828,"NX",-383.3492431640625,-487.629638671875,404.3892822265625,488.69366455078125
376,30.46687126159668,-6.621118068695068,30.26085662841797,11.766491413116455,"PX",-906.6212158203125,-227.25120544433594,404.35540771484375,488.04132080078125
440,-161.28340911865234,647.5328369140625,-170.41690826416016,663.5019226074219,"PX",-653.81103515625,425.6597900390625,51.395050048828125,989.1498413085938
613,-142.72312927246094,9.818185806274414,-142.5179901123047,-8.554837703704834,"NX",-906.8475952148438,-228.28062438964844,407.43402099609375,488.6058349609375
776,30.469392776489258,-6.6019978523254395,30.26587200164795,11.736012935638428,"PX",-907.4124145507812,-227.48065185546875,404.572998046875,997.241943359375
777,-142.7244415283203,9.805922508239746,-142.51042938232422,-8.556728839874268,"NX",-913.9970092773438,-230.0376739501953,401.6493835449219,988.3462524414062
358,768.4061279296875,-768.1284790039062,785.3236999511719,-756.3204040527344,"PX",-125.5652084350586,-954.2604370117188,1030.637451171875,656.7340698242188
439,796.7592163085938,-772.7096557617188,779.8648986816406,-784.5292358398438,"NX",-123.5225830078125,-952.3550415039062,1029.809814453125,651.79833984375
1224,-16.667495727539062,217.7060775756836,3.7214585542678833,214.61544799804688,"NX",-123.59052276611328,-704.0587768554688,761.4503173828125,649.303955078125
1225,1.9131572842597961,203.1265106201172,-18.47397518157959,206.28992462158203,"PX",-118.5765380859375,-63.640560150146484,373.9945068359375,654.4452514648438
372,-248.0093994140625,-536.0871276855469,-256.32562255859375,-524.8306884765625,"PX",-600.3905639648438,-582.6788330078125,352.6335754394531,197.20022583007812
600,-252.94070434570312,-522.2519836425781,-244.55740356445312,-533.5093994140625,"NX",-597.9296875,-604.4385986328125,350.9355163574219,193.063232421875
16,-8.025533199310303,-192.72992706298828,4.382553339004517,-177.21414947509766,"PX",-634.9344482421875,-645.0808715820312,615.2125244140625,634.3399047851562
837,-8.179220199584961,-192.92886352539062,4.418059825897217,-177.18355560302734,"PX",-640.2396850585938,-646.14306640625,615.6531372070312,631.3204345703125
921,-380.4054412841797,209.43489837646484,-400.6516418457031,206.61890411376953,"NX",-640.372314453125,-797.428955078125,620.7135009765625,813.9354858398438
922,-400.6188659667969,206.6236801147461,-380.3705596923828,209.45098114013672,"PX",-640.8040161132812,-799.6031494140625,626.0045166015625,808.9707641601562
841,-380.38946533203125,209.43677520751953,-400.6326446533203,206.62010192871094,"NX",-440.2879943847656,-517.4181518554688,96.00666046142578,812.0974731445312
839,-400.6394348144531,206.61692810058594,-380.45166015625,209.43527221679688,"PX",-437.0045471191406,-518.599609375,93.47366333007812,809.7233276367188
838,-380.3997497558594,209.43817138671875,-400.63377380371094,206.6149673461914,"NX",-441.4754943847656,-187.8953857421875,178.35133361816406,813.0775146484375
843,-400.6172180175781,206.6171875,-380.44569396972656,209.43040466308594,"PX",-438.6310119628906,-191.02964782714844,181.0736846923828,808.8318481445312
